id,tipo,ubicacion,sexo,edad,nacionalidad,fecha,hora,lugar,comuna,barrio,villa,movil,arma
caba-v1,victima,caba,masculino,36,argentina,2012-02-11,04:20,"via publica",8,"villa lugano",0,"discusión / riña / venganza",otras
caba-v2,victima,caba,masculino,28,argentina,2012-04-14,01:45,"via publica",6,caballito,0,robo,fuego
caba-v3,victima,caba,masculino,25,peruana,2012-09-24,06:30,"via publica",3,balvanera,0,"discusión / riña / venganza",fuego
caba-v4,victima,caba,masculino,45,argentina,2012-08-09,20:30,"domicilio particular",11,"villa devoto",0,robo,fuego
caba-v5,victima,caba,masculino,30,argentina,2012-08-18,02:00,comercio,5,almagro,0,"discusión / riña / venganza",fuego
caba-v6,victima,caba,masculino,21,peruana,2012-05-27,00:20,"domicilio particular",5,almagro,0,"discusión / riña / venganza",fuego
caba-v7,victima,caba,masculino,40,argentina,2012-10-21,20:30,"domicilio particular",4,"la boca",0,"discusión / riña / venganza",fuego
caba-v8,victima,caba,masculino,23,paraguaya,2012-06-18,11:00,"via publica",3,balvanera,0,,otras
caba-v9,victima,caba,femenino,86,argentina,2012-07-13,21:30,"domicilio particular",10,"vélez sársfield",0,"violencia intrafamiliar",otras
caba-v10,victima,caba,masculino,49,paraguaya,2012-01-15,01:40,"via publica",9,"parque avellaneda",1,"discusión / riña / venganza",otras
caba-v11,victima,caba,masculino,42,argentina,2012-01-02,22:30,"via publica",7,flores,0,"discusión / riña / venganza",otras
caba-v12,victima,caba,masculino,57,argentina,2012-04-16,05:00,"local publico",3,balvanera,0,"discusión / riña / venganza",fuego
caba-v13,victima,caba,femenino,87,argentina,2012-12-08,,"domicilio particular",10,"vélez sársfield",0,,ninguna
caba-v14,victima,caba,masculino,17,argentina,2012-02-20,22:00,"via publica",5,boedo,0,,fuego
caba-v15a,victima,caba,masculino,21,argentina,2012-12-10,23:00,"via publica",8,"villa lugano",1,"discusión / riña / venganza",fuego
caba-v15b,victima,caba,femenino,53,argentina,2012-12-10,23:00,"via publica",8,"villa lugano",1,"discusión / riña / venganza",fuego
caba-v16,victima,caba,masculino,67,argentina,2012-10-15,20:15,"via publica",9,mataderos,0,robo,fuego
caba-v17,victima,caba,femenino,25,argentina,2012-01-06,,"domicilio particular",14,palermo,0,"violencia intrafamiliar",otras
caba-v18,victima,caba,masculino,34,argentina,2012-05-26,05:21,otros,9,liniers,0,"legítima defensa",fuego
caba-v19,victima,caba,masculino,21,argentina,2012-09-16,07:30,"via publica",8,"villa lugano",0,"violencia intrafamiliar",blanca
caba-v20,victima,caba,masculino,25,argentina,2012-08-11,18:00,"domicilio particular",9,"parque avellaneda",0,"discusión / riña / venganza",blanca
caba-v21,victima,caba,femenino,87,argentina,2012-03-07,22:04,"domicilio particular",1,"san telmo",0,"violencia intrafamiliar",fuego
caba-v22,victima,caba,masculino,21,ucraniana,2012-09-24,04:00,"via publica",3,balvanera,0,"discusión / riña / venganza",otras
caba-v23,victima,caba,masculino,36,argentina,2012-05-01,21:00,"domicilio particular",14,palermo,0,"discusión / riña / venganza",otras
caba-v24a,victima,caba,masculino,51,paraguaya,2012-12-01,02:00,otros,12,coghlan,0,,blanca
caba-v24b,victima,caba,masculino,41,argentina,2012-12-01,02:00,otros,12,coghlan,0,,blanca
caba-v25,victima,caba,masculino,30,paraguaya,2012-03-16,03:00,comercio,7,flores,1,"discusión / riña / venganza",blanca
